asset_id,month,amount
FA001,2020-03,4056.41
FA001,2020-04,4836.50
FA001,2020-05,4836.50
FA001,2020-06,4836.50
FA001,2020-07,4836.50
FA001,2020-08,4836.50
FA001,2020-09,4836.50
FA001,2020-10,4836.50
FA001,2020-11,780.09
FA002,2021-06,2458.43
FA002,2021-07,3073.04
FA002,2021-08,3073.04
FA002,2021-09,3073.04
FA002,2021-10,3073.04
FA002,2021-11,3073.04
FA002,2021-12,3073.04
FA002,2022-01,3073.04
FA002,2022-02,3073.04
FA002,2022-03,614.68
FA003,2019-09,234.28
FA003,2019-10,1405.73
FA003,2019-11,1405.73
FA003,2019-12,1405.73
FA003,2020-01,1405.73
FA003,2020-02,1405.73
FA003,2020-03,1405.73
FA003,2020-04,1405.73
FA003,2020-05,1405.73
FA003,2020-06,1405.73
FA003,2020-07,1405.73
FA003,2020-08,1405.73
FA003,2020-09,1405.73
FA003,2020-10,1405.73
FA003,2020-11,1405.73
FA003,2020-12,1405.73
FA003,2021-01,1405.73
FA003,2021-02,1405.73
FA003,2021-03,1405.73
FA003,2021-04,1405.73
FA003,2021-05,1405.73
FA003,2021-06,1405.73
FA003,2021-07,1405.73
FA003,2021-08,1405.73
FA003,2021-09,1405.73
FA003,2021-10,1405.73
FA003,2021-11,1405.73
FA003,2021-12,1405.73
FA003,2022-01,1405.73
FA003,2022-02,1405.73
FA003,2022-03,1405.73
FA003,2022-04,1405.73
FA003,2022-05,1405.73
FA003,2022-06,1405.73
FA003,2022-07,1405.73
FA003,2022-08,1405.73
FA003,2022-09,1171.48
FA004,2020-05,6537.92
FA004,2020-06,10133.78
FA004,2020-07,3595.87
FA005,2020-04,3449.54
FA005,2020-05,5749.24
FA005,2020-06,5749.24
FA005,2020-07,5749.24
FA005,2020-08,5749.24
FA005,2020-09,5749.24
FA005,2020-10,5749.24
FA005,2020-11,5749.24
FA005,2020-12,5749.24
FA005,2021-01,2299.72
FA006,2021-03,128.17
FA006,2021-04,233.73
FA006,2021-05,233.73
FA006,2021-06,233.73
FA006,2021-07,233.73
FA006,2021-08,233.73
FA006,2021-09,233.73
FA006,2021-10,233.73
FA006,2021-11,233.73
FA006,2021-12,233.73
FA006,2022-01,233.73
FA006,2022-02,233.73
FA006,2022-03,233.73
FA006,2022-04,233.73
FA006,2022-05,233.73
FA006,2022-06,233.73
FA006,2022-07,233.73
FA006,2022-08,233.73
FA006,2022-09,233.73
